Emanuella,Fialho,1990-05-12 00:00:00,Brasília,Tênis,43,200,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Juliane,Felipi,1986-08-28,Porto Alegre,Chinelo,95,25,,,,,,,
Tayna,Coimbra,1993-07-04,Brasília,Sapato,89,230,,,,,,,
Iago,Bensdorp,1990-09-11,São Paulo,Short,121,55,,,,,,,
Maryanna,Correa,1985-09-30,Rio de Janeiro,Pulseira,19,30,,,,,,,
Iago,Bensdorp,1992-08-27,Rio de Janeiro,Tênis,62,200,,,,,,,
Jucelia,Bailly,1985-03-30,Brasília,Tênis,36,200,,,,,,,
Patricia,Camara,1993-07-27,Rio de Janeiro,Tênis,127,200,,,,,,,
Tayna,Coimbra,1989-01-13,Brasília,Short,53,55,,,,,,,
Joyce,Ribas,1988-01-24,Porto Alegre,Casaco,62,190,,,,,,,
Emanuella,Fialho,1992-07-09,Porto Alegre,Vestido,71,300,,,,,,,
Patricia,Camara,1985-04-08,Rio de Janeiro,Casaco,106,190,,,,,,,
Maryanna,Correa,1988-07-03,São Paulo,Short,3,55,,,,,,,
Breno,Amaral,1987-08-14,Rio de Janeiro,Tênis,46,200,,,,,,,
Natália,Huon,1989-06-13,São Paulo,Tênis,86,200,,,,,,,
Paloma,Farias,1991-04-17,Salvador,Tênis,147,200,,,,,,,
Jucelia,Bailly,1985-10-01,Fortaleza,Vestido,92,300,,,,,,,
Elizeu,Barros,1992-12-11,Curitiba,Saia,111,75,,,,,,,
Paloma,Farias,1993-09-22,Rio de Janeiro,Saia,27,75,,,,,,,
Iago,Bensdorp,1993-08-19,Fortaleza,Jaqueta,64,250,,,,,,,
Breno,Amaral,1993-05-24,São Paulo,Sapato,99,230,,,,,,,
Tayna,Coimbra,1992-03-05,Rio de Janeiro,Jaqueta,92,250,,,,,,,
Emanuella,Fialho,1986-07-15,Rio de Janeiro,Tênis,3,200,,,,,,,
Eduarda,Figueiredo,1991-05-11,Salvador,Vestido,38,300,,,,,,,
Paloma,Farias,1986-01-11,Brasília,Pulseira,12,30,,,,,,,
Iago,Bensdorp,1988-09-21,São Paulo,Camiseta,21,85,,,,,,,
Iago,Bensdorp,1985-12-31,Salvador,Bermuda,31,150,,,,,,,
Joyce,Ribas,1992-07-18,Rio de Janeiro,Short,29,55,,,,,,,
Juliane,Felipi,1990-07-23,Salvador,Short,71,55,,,,,,,
Natália,Huon,1988-01-04,São Paulo,Sapato,136,230,,,,,,,
Eduarda,Figueiredo,1989-08-12,Rio de Janeiro,Short,94,55,,,,,,,
Patricia,Camara,1991-03-18,Salvador,Camiseta,111,85,,,,,,,
Juliane,Felipi,1991-10-23,Rio de Janeiro,Casaco,72,190,,,,,,,
Elizeu,Barros,1993-05-01,Porto Alegre,Vestido,66,300,,,,,,,
Iago,Bensdorp,1988-09-15,Brasília,Saia,53,75,,,,,,,
Paloma,Farias,1988-09-14,Fortaleza,Vestido,140,300,,,,,,,
Andrew,Carvalhal,1989-11-02,Fortaleza,Pulseira,133,30,,,,,,,
Maryanna,Correa,1990-12-07,Brasília,Sandália,21,110,,,,,,,
Andrew,Carvalhal,1991-11-30,Salvador,Casaco,145,190,,,,,,,
Emanuella,Fialho,1991-01-18,Brasília,Tênis,138,200,,,,,,,
Paloma,Farias,1990-10-17,Curitiba,Pulseira,4,30,,,,,,,
Izabel,Milagre,1987-04-03,Curitiba,Sandália,124,110,,,,,,,
Izabel,Milagre,1992-12-28,São Paulo,Casaco,26,190,,,,,,,
Emanuella,Fialho,1991-07-11,Fortaleza,Short,150,55,,,,,,,
Izabel,Milagre,1991-03-23,Curitiba,Sapato,96,230,,,,,,,
Juliane,Felipi,1989-01-06,Rio de Janeiro,Sandália,127,110,,,,,,,
Natália,Huon,1985-10-29,Brasília,Short,112,55,,,,,,,
Juliane,Felipi,1987-07-26,Fortaleza,Tênis,44,200,,,,,,,
Jucelia,Bailly,1990-09-20,Brasília,Camiseta,93,85,,,,,,,
Andrew,Carvalhal,1991-12-19,Fortaleza,Casaco,99,190,,,,,,,
Tayna,Coimbra,1987-07-18,Porto Alegre,Tênis,40,200,,,,,,,
Patricia,Camara,1990-11-07,São Paulo,Short,28,55,,,,,,,
Joyce,Ribas,1992-06-11,São Paulo,Chinelo,67,25,,,,,,,
Breno,Amaral,1991-11-16,Salvador,Chinelo,25,25,,,,,,,
Eduarda,Figueiredo,1989-09-16,Fortaleza,Jaqueta,130,250,,,,,,,
Iago,Bensdorp,1987-06-21,Salvador,Tênis,131,200,,,,,,,
Iago,Bensdorp,1990-06-20,Porto Alegre,Bermuda,2,150,,,,,,,
Maryanna,Correa,1988-12-07,Porto Alegre,Pulseira,65,30,,,,,,,
Joyce,Ribas,1986-07-05,Curitiba,Tênis,65,200,,,,,,,
Patricia,Camara,1988-01-20,Brasília,Jaqueta,66,250,,,,,,,
Eduarda,Figueiredo,1990-04-20,Salvador,Jaqueta,8,250,,,,,,,
Jucelia,Bailly,1986-08-20,Fortaleza,Casaco,22,190,,,,,,,
Andrew,Carvalhal,1985-11-09,Salvador,Tênis,135,200,,,,,,,
Iago,Bensdorp,1988-05-22,Brasília,Vestido,52,300,,,,,,,
Eduarda,Figueiredo,1991-01-16,São Paulo,Camiseta,4,85,,,,,,,
Juliane,Felipi,1992-01-20,Rio de Janeiro,Sandália,7,110,,,,,,,
Tayna,Coimbra,1989-01-20,Brasília,Saia,57,75,,,,,,,
Andrew,Carvalhal,1991-02-02,Fortaleza,Short,52,55,,,,,,,
Tayna,Coimbra,1985-12-02,Brasília,Casaco,6,190,,,,,,,
Iago,Bensdorp,1991-04-26,Fortaleza,Pulseira,124,30,,,,,,,
Breno,Amaral,1985-10-18,Fortaleza,Sapato,139,230,,,,,,,
Emanuella,Fialho,1992-03-11,Salvador,Camiseta,48,85,,,,,,,
Patricia,Camara,1986-11-03,São Paulo,Casaco,110,190,,,,,,,
Izabel,Milagre,1987-07-16,Curitiba,Bermuda,74,150,,,,,,,
Patricia,Camara,1985-05-27,Porto Alegre,Camiseta,41,85,,,,,,,
Andrew,Carvalhal,1990-01-31,Rio de Janeiro,Jaqueta,84,250,,,,,,,
Elizeu,Barros,1988-06-21,Curitiba,Casaco,35,190,,,,,,,
Eduarda,Figueiredo,1992-08-05,Porto Alegre,Chinelo,77,25,,,,,,,
Tayna,Coimbra,1990-10-02,Rio de Janeiro,Vestido,6,300,,,,,,,
Elizeu,Barros,1988-10-30,Fortaleza,Tênis,20,200,,,,,,,
Emanuella,Fialho,1987-03-05,Rio de Janeiro,Casaco,38,190,,,,,,,
Natália,Huon,1985-07-24,Rio de Janeiro,Camiseta,80,85,,,,,,,
Breno,Amaral,1987-02-12,Salvador,Chinelo,43,25,,,,,,,
Joyce,Ribas,1985-06-01,Fortaleza,Casaco,88,190,,,,,,,
Joyce,Ribas,1985-06-24,Fortaleza,Bermuda,63,150,,,,,,,
Natália,Huon,1987-02-27,Fortaleza,Short,72,55,,,,,,,
Elizeu,Barros,1989-06-06,Porto Alegre,Casaco,9,190,,,,,,,
Emanuella,Fialho,1986-08-10,São Paulo,Sapato,81,230,,,,,,,
Emanuella,Fialho,1986-11-15,Salvador,Pulseira,80,30,,,,,,,
Natália,Huon,1993-09-15,Brasília,Short,14,55,,,,,,,
Juliane,Felipi,1988-08-15,São Paulo,Vestido,146,300,,,,,,,
Eduarda,Figueiredo,1985-12-19,São Paulo,Camiseta,46,85,,,,,,,
Juliane,Felipi,1990-07-30,Fortaleza,Casaco,92,190,,,,,,,
Andrew,Carvalhal,1993-12-10,Curitiba,Saia,23,75,,,,,,,
Elizeu,Barros,1986-07-15,Fortaleza,Jaqueta,10,250,,,,,,,
Maryanna,Correa,1989-01-27,Salvador,Chinelo,11,25,,,,,,,
Jucelia,Bailly,1987-01-31,Brasília,Sapato,70,230,,,,,,,
Natália,Huon,1990-11-08,Porto Alegre,Casaco,70,190,,,,,,,
Paloma,Farias,1987-07-05,Fortaleza,Casaco,47,190,,,,,,,
Paloma,Farias,1990-04-15,Porto Alegre,Chinelo,150,25,,,,,,,
Tayna,Coimbra,1991-04-13,Curitiba,Pulseira,127,30,,,,,,,
Paloma,Farias,1991-12-19,Rio de Janeiro,Pulseira,2,30,,,,,,,
Paloma,Farias,1991-08-20,São Paulo,Bermuda,34,150,,,,,,,
Izabel,Milagre,1985-06-21,Rio de Janeiro,Vestido,128,300,,,,,,,
Joyce,Ribas,1986-02-23,Curitiba,Saia,17,75,,,,,,,
Iago,Bensdorp,1987-05-10,Salvador,Casaco,106,190,,,,,,,
Elizeu,Barros,1992-04-25,Curitiba,Camiseta,47,85,,,,,,,
Patricia,Camara,1992-09-14,Curitiba,Tênis,104,200,,,,,,,
Jucelia,Bailly,1985-08-23,Fortaleza,Sapato,118,230,,,,,,,
Juliane,Felipi,1985-06-26,Brasília,Tênis,95,200,,,,,,,
Jucelia,Bailly,1992-05-27,Porto Alegre,Short,144,55,,,,,,,
Izabel,Milagre,1986-08-25,Fortaleza,Sandália,110,110,,,,,,,
Paloma,Farias,1989-03-29,Fortaleza,Sapato,83,230,,,,,,,
Andrew,Carvalhal,1990-04-03,Salvador,Bermuda,145,150,,,,,,,
Andrew,Carvalhal,1988-11-04,São Paulo,Tênis,59,200,,,,,,,
Natália,Huon,1992-01-21,Rio de Janeiro,Camiseta,37,85,,,,,,,
Emanuella,Fialho,1987-11-10,Brasília,Jaqueta,124,250,,,,,,,
Andrew,Carvalhal,1993-04-18,Porto Alegre,Saia,24,75,,,,,,,
Joyce,Ribas,1992-05-26,Brasília,Short,4,55,,,,,,,
Juliane,Felipi,1989-10-08,Brasília,Casaco,46,190,,,,,,,
Jucelia,Bailly,1993-01-06,São Paulo,Pulseira,58,30,,,,,,,
Andrew,Carvalhal,1993-06-23,Salvador,Tênis,90,200,,,,,,,
Izabel,Milagre,1988-01-25,São Paulo,Pulseira,31,30,,,,,,,
Maryanna,Correa,1991-03-06,Porto Alegre,Saia,86,75,,,,,,,
Izabel,Milagre,1989-01-02,Rio de Janeiro,Camiseta,81,85,,,,,,,
Eduarda,Figueiredo,1993-08-11,Fortaleza,Jaqueta,142,250,,,,,,,
Paloma,Farias,1989-10-13,Salvador,Chinelo,50,25,,,,,,,
Patricia,Camara,1991-04-04,Brasília,Tênis,107,200,,,,,,,
Elizeu,Barros,1993-08-31,Curitiba,Saia,6,75,,,,,,,
Breno,Amaral,1988-06-17,Brasília,Casaco,82,190,,,,,,,
Natália,Huon,1992-01-13,Rio de Janeiro,Sapato,17,230,,,,,,,
Juliane,Felipi,1985-01-15,São Paulo,Casaco,100,190,,,,,,,
Andrew,Carvalhal,1986-06-03,Curitiba,Camiseta,98,85,,,,,,,
Eduarda,Figueiredo,1989-12-09,Curitiba,Bermuda,122,150,,,,,,,
Jucelia,Bailly,1988-11-01,Curitiba,Vestido,140,300,,,,,,,
Elizeu,Barros,1985-09-18,Curitiba,Chinelo,128,25,,,,,,,
Patricia,Camara,1985-04-20,São Paulo,Sandália,16,110,,,,,,,
Jucelia,Bailly,1987-01-25,Porto Alegre,Sapato,150,230,,,,,,,
Juliane,Felipi,1992-11-22,Rio de Janeiro,Saia,129,75,,,,,,,
Juliane,Felipi,1985-10-21,São Paulo,Saia,98,75,,,,,,,
Juliane,Felipi,1992-02-04,Curitiba,Casaco,113,190,,,,,,,
Natália,Huon,1993-09-21,São Paulo,Sandália,119,110,,,,,,,
Patricia,Camara,1988-10-17,Rio de Janeiro,Sapato,141,230,,,,,,,
Natália,Huon,1986-05-15,Salvador,Casaco,63,190,,,,,,,
Breno,Amaral,1985-12-06,São Paulo,Bermuda,84,150,,,,,,,
Natália,Huon,1987-06-19,São Paulo,Chinelo,46,25,,,,,,,
Joyce,Ribas,1986-07-25,Fortaleza,Sapato,23,230,,,,,,,
Paloma,Farias,1992-12-20,Salvador,Bermuda,124,150,,,,,,,
Natália,Huon,1992-08-16,Curitiba,Short,57,55,,,,,,,
Eduarda,Figueiredo,1992-06-19,Salvador,Bermuda,96,150,,,,,,,
Joyce,Ribas,1993-06-30,Brasília,Short,108,55,,,,,,,
Patricia,Camara,1986-07-14,Fortaleza,Tênis,148,200,,,,,,,
Elizeu,Barros,1992-01-05,São Paulo,Casaco,56,190,,,,,,,
Patricia,Camara,1992-10-20,Curitiba,Sapato,6,230,,,,,,,
Paloma,Farias,1991-06-23,Rio de Janeiro,Camiseta,40,85,,,,,,,
Natália,Huon,1988-04-07,Rio de Janeiro,Vestido,10,300,,,,,,,
Breno,Amaral,1991-11-17,São Paulo,Vestido,61,300,,,,,,,
Jucelia,Bailly,1988-09-28,Rio de Janeiro,Camiseta,57,85,,,,,,,
Paloma,Farias,1991-02-12,Fortaleza,Sapato,116,230,,,,,,,
Tayna,Coimbra,1989-11-06,Rio de Janeiro,Bermuda,96,150,,,,,,,
Izabel,Milagre,1989-05-09,Rio de Janeiro,Casaco,21,190,,,,,,,
Maryanna,Correa,1988-11-22,Rio de Janeiro,Saia,44,75,,,,,,,
Breno,Amaral,1992-07-24,Porto Alegre,Bermuda,77,150,,,,,,,
Emanuella,Fialho,1992-04-25,São Paulo,Jaqueta,49,250,,,,,,,
Paloma,Farias,1993-10-10,Fortaleza,Casaco,145,190,,,,,,,
Izabel,Milagre,1988-01-17,Porto Alegre,Short,126,55,,,,,,,
Elizeu,Barros,1993-10-26,São Paulo,Jaqueta,108,250,,,,,,,
Juliane,Felipi,1993-10-17,Curitiba,Pulseira,35,30,,,,,,,
Joyce,Ribas,1987-12-12,São Paulo,Sapato,5,230,,,,,,,
Breno,Amaral,1992-07-22,Porto Alegre,Casaco,138,190,,,,,,,
Breno,Amaral,1989-01-14,Porto Alegre,Saia,108,75,,,,,,,
Patricia,Camara,1990-11-20,Salvador,Sapato,85,230,,,,,,,
Paloma,Farias,1988-05-22,São Paulo,Pulseira,88,30,,,,,,,
Elizeu,Barros,1988-05-27,Fortaleza,Tênis,125,200,,,,,,,
Joyce,Ribas,1993-01-26,Brasília,Vestido,118,300,,,,,,,
Izabel,Milagre,1986-07-13,Brasília,Chinelo,33,25,,,,,,,
Tayna,Coimbra,1991-02-11,Rio de Janeiro,Sapato,68,230,,,,,,,
Tayna,Coimbra,1990-05-06,Curitiba,Sapato,26,230,,,,,,,
Emanuella,Fialho,1987-10-28,Brasília,Chinelo,7,25,,,,,,,
Natália,Huon,1988-11-19,Salvador,Sapato,81,230,,,,,,,
Juliane,Felipi,1985-01-06,Salvador,Jaqueta,72,250,,,,,,,
Elizeu,Barros,1987-06-14,Porto Alegre,Sandália,83,110,,,,,,,
Iago,Bensdorp,1987-11-15,Curitiba,Jaqueta,94,250,,,,,,,
Patricia,Camara,1986-03-12,Fortaleza,Vestido,31,300,,,,,,,
Breno,Amaral,1992-11-23,Rio de Janeiro,Pulseira,34,30,,,,,,,
Juliane,Felipi,1987-08-26,Rio de Janeiro,Tênis,103,200,,,,,,,
Andrew,Carvalhal,1989-12-09,Porto Alegre,Chinelo,25,25,,,,,,,
Izabel,Milagre,1992-10-23,São Paulo,Casaco,130,190,,,,,,,
Natália,Huon,1993-05-01,Rio de Janeiro,Tênis,22,200,,,,,,,
Andrew,Carvalhal,1991-02-22,São Paulo,Sandália,143,110,,,,,,,
Jucelia,Bailly,1985-04-22,Salvador,Tênis,110,200,,,,,,,
Joyce,Ribas,1987-02-07,Rio de Janeiro,Pulseira,70,30,,,,,,,
Iago,Bensdorp,1987-08-01,Fortaleza,Short,139,55,,,,,,,
Natália,Huon,1992-06-13,Porto Alegre,Saia,41,75,,,,,,,
Breno,Amaral,1990-09-04,Salvador,Casaco,52,190,,,,,,,
Emanuella,Fialho,1990-08-30,Curitiba,Pulseira,80,30,,,,,,,
Patricia,Camara,1989-06-08,Porto Alegre,Jaqueta,136,250,,,,,,,
Joyce,Ribas,1990-01-28,Porto Alegre,Sapato,52,230,,,,,,,
Elizeu,Barros,1989-06-16,Porto Alegre,Pulseira,59,30,,,,,,,
Eduarda,Figueiredo,1992-04-02,Porto Alegre,Sapato,97,230,,,,,,,
Maryanna,Correa,1992-07-08,São Paulo,Short,14,55,,,,,,,
Maryanna,Correa,1985-05-30,Rio de Janeiro,Saia,30,75,,,,,,,
Emanuella,Fialho,1987-12-11,Salvador,Sapato,48,230,,,,,,,
Paloma,Farias,1987-04-15,Porto Alegre,Tênis,79,200,,,,,,,
Emanuella,Fialho,1992-02-15,Curitiba,Jaqueta,30,250,,,,,,,
Elizeu,Barros,1986-05-10,Brasília,Camiseta,131,85,,,,,,,
Juliane,Felipi,1991-04-16,São Paulo,Vestido,138,300,,,,,,,
Juliane,Felipi,1989-09-08,Salvador,Vestido,9,300,,,,,,,
Breno,Amaral,1987-03-05,São Paulo,Jaqueta,34,250,,,,,,,
Emanuella,Fialho,1985-08-11,Brasília,Jaqueta,119,250,,,,,,,
Emanuella,Fialho,1993-07-25,Fortaleza,Tênis,96,200,,,,,,,
Paloma,Farias,1986-03-11,Porto Alegre,Camiseta,80,85,,,,,,,
Tayna,Coimbra,1985-07-07,Fortaleza,Tênis,60,200,,,,,,,
Breno,Amaral,1989-06-11,Fortaleza,Saia,89,75,,,,,,,
Emanuella,Fialho,1990-05-13,Fortaleza,Vestido,50,300,,,,,,,
Natália,Huon,1988-11-06,Salvador,Tênis,8,200,,,,,,,
Tayna,Coimbra,1987-10-07,Brasília,Sandália,141,110,,,,,,,
Patricia,Camara,1989-09-30,Salvador,Pulseira,112,30,,,,,,,
Elizeu,Barros,1986-10-11,Brasília,Bermuda,93,150,,,,,,,
Elizeu,Barros,1993-08-13,São Paulo,Tênis,20,200,,,,,,,
Eduarda,Figueiredo,1990-02-08,Salvador,Sapato,118,230,,,,,,,
Juliane,Felipi,1990-08-11,Rio de Janeiro,Pulseira,111,30,,,,,,,
Iago,Bensdorp,1986-05-16,Brasília,Casaco,48,190,,,,,,,
Breno,Amaral,1985-06-03,Salvador,Vestido,29,300,,,,,,,
Maryanna,Correa,1987-11-14,São Paulo,Pulseira,37,30,,,,,,,
Andrew,Carvalhal,1991-07-25,Porto Alegre,Camiseta,104,85,,,,,,,
Joyce,Ribas,1993-10-29,Fortaleza,Tênis,100,200,,,,,,,
Tayna,Coimbra,1988-12-15,Rio de Janeiro,Vestido,23,300,,,,,,,
Natália,Huon,1988-12-04,Fortaleza,Jaqueta,122,250,,,,,,,
Joyce,Ribas,1990-08-22,São Paulo,Sapato,149,230,,,,,,,
Andrew,Carvalhal,1989-07-11,Rio de Janeiro,Casaco,134,190,,,,,,,
Andrew,Carvalhal,1993-04-21,Brasília,Sandália,65,110,,,,,,,
Patricia,Camara,1993-04-05,Salvador,Pulseira,11,30,,,,,,,
Joyce,Ribas,1992-08-10,Porto Alegre,Chinelo,41,25,,,,,,,
Elizeu,Barros,1985-02-19,Curitiba,Vestido,4,300,,,,,,,
Andrew,Carvalhal,1989-10-08,Salvador,Short,6,55,,,,,,,
Izabel,Milagre,1991-07-27,Fortaleza,Pulseira,113,30,,,,,,,
Andrew,Carvalhal,1985-02-17,Brasília,Jaqueta,32,250,,,,,,,
Andrew,Carvalhal,1988-04-02,Curitiba,Short,31,55,,,,,,,
Emanuella,Fialho,1985-09-30,Curitiba,Vestido,77,300,,,,,,,
Tayna,Coimbra,1985-01-11,Curitiba,Sandália,90,110,,,,,,,
Jucelia,Bailly,1992-03-16,Rio de Janeiro,Casaco,71,190,,,,,,,
Elizeu,Barros,1991-11-15,São Paulo,Saia,22,75,,,,,,,
Izabel,Milagre,1992-04-26,Porto Alegre,Jaqueta,105,250,,,,,,,
Eduarda,Figueiredo,1989-12-18,Salvador,Vestido,109,300,,,,,,,
Andrew,Carvalhal,1987-03-05,Fortaleza,Jaqueta,117,250,,,,,,,
Iago,Bensdorp,1993-12-25,Salvador,Sandália,98,110,,,,,,,
Jucelia,Bailly,1990-11-18,Rio de Janeiro,Camiseta,101,85,,,,,,,
Joyce,Ribas,1985-04-19,Curitiba,Short,36,55,,,,,,,
Breno,Amaral,1993-08-19,Curitiba,Sandália,110,110,,,,,,,
Joyce,Ribas,1986-07-19,Fortaleza,Chinelo,7,25,,,,,,,
Breno,Amaral,1992-02-22,Curitiba,Sapato,122,230,,,,,,,
Emanuella,Fialho,1993-08-27,Rio de Janeiro,Sandália,13,110,,,,,,,
Joyce,Ribas,1991-07-02,São Paulo,Sandália,59,110,,,,,,,
Maryanna,Correa,1989-05-18,São Paulo,Jaqueta,146,250,,,,,,,
Emanuella,Fialho,1990-04-15,Salvador,Chinelo,149,25,,,,,,,
Jucelia,Bailly,1986-08-28,Curitiba,Camiseta,33,85,,,,,,,
Iago,Bensdorp,1990-10-28,Fortaleza,Bermuda,27,150,,,,,,,
Iago,Bensdorp,1986-08-17,Salvador,Tênis,129,200,,,,,,,
Emanuella,Fialho,1986-10-30,Brasília,Short,103,55,,,,,,,
Breno,Amaral,1986-10-16,Curitiba,Chinelo,148,25,,,,,,,
Jucelia,Bailly,1988-08-09,Porto Alegre,Saia,110,75,,,,,,,
Tayna,Coimbra,1988-11-29,Rio de Janeiro,Jaqueta,100,250,,,,,,,
Elizeu,Barros,1989-04-25,São Paulo,Sapato,143,230,,,,,,,
Andrew,Carvalhal,1988-05-21,Porto Alegre,Casaco,40,190,,,,,,,
Izabel,Milagre,1991-10-06,Fortaleza,Camiseta,14,85,,,,,,,
Maryanna,Correa,1986-02-02,Rio de Janeiro,Tênis,69,200,,,,,,,
Eduarda,Figueiredo,1986-06-16,Porto Alegre,Sandália,8,110,,,,,,,
Breno,Amaral,1989-12-25,Rio de Janeiro,Sandália,2,110,,,,,,,
Andrew,Carvalhal,1990-06-17,Rio de Janeiro,Casaco,89,190,,,,,,,
Maryanna,Correa,1992-05-18,Rio de Janeiro,Vestido,53,300,,,,,,,
Natália,Huon,1988-04-08,Fortaleza,Camiseta,48,85,,,,,,,
Maryanna,Correa,1988-01-31,Fortaleza,Sapato,112,230,,,,,,,
Izabel,Milagre,1993-08-03,Curitiba,Jaqueta,58,250,,,,,,,
Breno,Amaral,1988-07-27,Salvador,Sapato,124,230,,,,,,,
Breno,Amaral,1993-08-08,Rio de Janeiro,Bermuda,35,150,,,,,,,
Eduarda,Figueiredo,1985-12-07,São Paulo,Jaqueta,113,250,,,,,,,
Patricia,Camara,1992-11-12,Fortaleza,Tênis,134,200,,,,,,,
Natália,Huon,1991-04-20,Porto Alegre,Camiseta,14,85,,,,,,,
Tayna,Coimbra,1985-09-22,Porto Alegre,Pulseira,107,30,,,,,,,
Iago,Bensdorp,1988-06-09,Rio de Janeiro,Casaco,82,190,,,,,,,
Andrew,Carvalhal,1987-05-01,Porto Alegre,Sandália,87,110,,,,,,,
Elizeu,Barros,1992-06-21,São Paulo,Camiseta,112,85,,,,,,,
Iago,Bensdorp,1987-11-12,Salvador,Short,65,55,,,,,,,
Joyce,Ribas,1991-03-18,Rio de Janeiro,Short,56,55,,,,,,,
Juliane,Felipi,1986-01-17,Fortaleza,Bermuda,66,150,,,,,,,
Iago,Bensdorp,1986-09-11,Salvador,Chinelo,2,25,,,,,,,
Emanuella,Fialho,1992-11-24,Salvador,Casaco,12,190,,,,,,,
Elizeu,Barros,1989-01-15,Brasília,Sandália,113,110,,,,,,,
Joyce,Ribas,1989-06-12,São Paulo,Camiseta,114,85,,,,,,,
Juliane,Felipi,1987-04-28,Curitiba,Short,29,55,,,,,,,
Andrew,Carvalhal,1986-09-12,Brasília,Jaqueta,138,250,,,,,,,
Breno,Amaral,1991-04-14,São Paulo,Tênis,78,200,,,,,,,
Elizeu,Barros,1986-01-30,Fortaleza,Sandália,27,110,,,,,,,
Maryanna,Correa,1986-08-23,Fortaleza,Pulseira,63,30,,,,,,,
Juliane,Felipi,1993-02-16,Curitiba,Vestido,8,300,,,,,,,
Breno,Amaral,1989-10-09,Curitiba,Sandália,101,110,,,,,,,
Juliane,Felipi,1985-05-21,Brasília,Chinelo,2,25,,,,,,,
Izabel,Milagre,1993-08-31,Rio de Janeiro,Casaco,148,190,,,,,,,
Izabel,Milagre,1986-10-12,Rio de Janeiro,Sandália,89,110,,,,,,,
Elizeu,Barros,1990-12-25,Porto Alegre,Bermuda,139,150,,,,,,,
Elizeu,Barros,1989-08-11,Porto Alegre,Sapato,52,230,,,,,,,
Maryanna,Correa,1985-09-26,Rio de Janeiro,Vestido,112,300,,,,,,,
Patricia,Camara,1990-03-05,São Paulo,Camiseta,29,85,,,,,,,
Eduarda,Figueiredo,1990-01-26,São Paulo,Tênis,81,200,,,,,,,
Natália,Huon,1987-08-23,Rio de Janeiro,Pulseira,76,30,,,,,,,
Joyce,Ribas,1986-08-12,Fortaleza,Jaqueta,54,250,,,,,,,
Elizeu,Barros,1988-10-15,Porto Alegre,Jaqueta,76,250,,,,,,,
Tayna,Coimbra,1988-11-06,São Paulo,Vestido,24,300,,,,,,,
Joyce,Ribas,1985-07-06,Curitiba,Bermuda,111,150,,,,,,,
Breno,Amaral,1992-11-25,Brasília,Chinelo,133,25,,,,,,,
Breno,Amaral,1987-02-04,Rio de Janeiro,Sapato,62,230,,,,,,,
Izabel,Milagre,1989-01-17,Fortaleza,Chinelo,3,25,,,,,,,
Eduarda,Figueiredo,1989-06-30,Curitiba,Vestido,65,300,,,,,,,
Elizeu,Barros,1985-01-02,Rio de Janeiro,Jaqueta,133,250,,,,,,,
Tayna,Coimbra,1989-03-29,Curitiba,Sandália,138,110,,,,,,,
Iago,Bensdorp,1985-03-20,Curitiba,Sandália,46,110,,,,,,,
Elizeu,Barros,1988-07-13,Brasília,Pulseira,110,30,,,,,,,
Tayna,Coimbra,1992-03-19,Curitiba,Casaco,80,190,,,,,,,
Natália,Huon,1987-06-05,Fortaleza,Jaqueta,75,250,,,,,,,
Patricia,Camara,1986-01-26,Fortaleza,Jaqueta,92,250,,,,,,,
Paloma,Farias,1987-05-02,Salvador,Vestido,88,300,,,,,,,
Tayna,Coimbra,1986-06-13,Fortaleza,Jaqueta,41,250,,,,,,,
Elizeu,Barros,1990-08-02,São Paulo,Sandália,109,110,,,,,,,
Natália,Huon,1986-05-09,Fortaleza,Chinelo,92,25,,,,,,,
Eduarda,Figueiredo,1989-09-20,Curitiba,Camiseta,131,85,,,,,,,
Elizeu,Barros,1987-08-12,São Paulo,Vestido,109,300,,,,,,,
Natália,Huon,1986-02-13,Salvador,Saia,16,75,,,,,,,
Tayna,Coimbra,1985-08-04,Rio de Janeiro,Chinelo,95,25,,,,,,,
Joyce,Ribas,1992-05-22,Rio de Janeiro,Tênis,31,200,,,,,,,
Jucelia,Bailly,1989-01-10,Curitiba,Tênis,7,200,,,,,,,
Juliane,Felipi,1990-01-11,Fortaleza,Saia,119,75,,,,,,,
Iago,Bensdorp,1990-07-21,Fortaleza,Sandália,97,110,,,,,,,
Paloma,Farias,1989-07-24,Brasília,Sandália,125,110,,,,,,,
Breno,Amaral,1985-12-26,Curitiba,Sandália,36,110,,,,,,,
Joyce,Ribas,1987-11-24,Porto Alegre,Casaco,131,190,,,,,,,
Maryanna,Correa,1993-05-11,Brasília,Chinelo,148,25,,,,,,,
Joyce,Ribas,1988-03-05,Porto Alegre,Tênis,19,200,,,,,,,
Jucelia,Bailly,1985-11-18,Brasília,Pulseira,112,30,,,,,,,
Paloma,Farias,1990-02-09,Brasília,Tênis,130,200,,,,,,,
Joyce,Ribas,1985-08-31,Fortaleza,Bermuda,21,150,,,,,,,
Tayna,Coimbra,1990-08-26,Porto Alegre,Saia,113,75,,,,,,,
Elizeu,Barros,1987-04-20,São Paulo,Pulseira,130,30,,,,,,,
Elizeu,Barros,1992-11-08,Rio de Janeiro,Camiseta,66,85,,,,,,,
Tayna,Coimbra,1985-12-31,Brasília,Jaqueta,126,250,,,,,,,
